order,family,genus,name,minimum.res.method,minimum.con.method
Plecoptera,Notonemuridae',Cristaperla,Cristaperla,genus,genus
Diptera,Chironomidae,Cryptochironomus,Cryptochironomus,family,genus
Thalassiosirales,Stephanodiscaeae,Cyclotella,Cyclotella,genus,genus
Cymbellales,Cymbellaceae,Cymbella,Cymbella,genus,genus
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium,genus,genus
Detritus,,,Detritus,order,order
Diptera,Chironomidae,,Diamesinae,family,family
Fragilariales,Fragilariaceae,Diatoma,Diatoma,genus,genus
Trichoptera,Hydropsychidae,Diplectrona,Diplectrona,family,family
Naviculales,Diploneidaceae,Diploneis,Diploneis,genus,genus
Diptera,,,Diptera,order,order
Diptera,Dixidae,,Dixidae,family,family
Diptera,Dolichopodidae,,Dolichopodidae,family,family
Diptera,Dytiscidae,,Dytiscidae,family,family
Trichoptera,Hydrobiosidae,Edpercivalia,Edpercivalia,genus,genus
Coleoptera,Elmidae,,Elmidae,family,family
Coleoptera,Elmidae,,Elmidae_larvae,family,family
Diptera,Empididae,,Empididae,family,family
Cymbellales,Cymbellaceae,Encyonema,Encyonema,order,order
Ephemeroptera,,,Ephemeroptera,order,order
Diptera,Ephydridae,,Ephydridae,family,family
Rhopalodiaceae,Rhopalodiaceae,Epithemia,Epithemia,genus,genus
Diptera,Tipulidae,Eriopterini,Eriopterini,genus,genus
Diptera,Chironomidae,Eukiefferiella,Eukiefferiella,genus,genus
Eunotiales,Eunotiaceae,Eunotia,Eunotia,genus,genus
Fragilariales,Fragilariaceae,Fragilaria,Fragilaria,genus,genus
Naviculales,Amphipleuraceae,Frustulia,Frustulia,genus,genus
Fungi,,,Fungi,order,order
Osmeriformes,Galaxidae,Galaxias,Galaxias,genus,genus
Osmeriformes,Galaxidae,Galaxias,Galaxias.argenteus,genus,genus
Osmeriformes,Galaxidae,Galaxias,Galaxias.brevipinnis,genus,genus
Osmeriformes,Galaxidae,Galaxias,Galaxias.divergens,genus,genus
Osmeriformes,Galaxidae,Galaxias,Galaxias.fasciatus,genus,genus
Osmeriformes,Galaxidae,Galaxias,Galaxias.postvectis,genus,genus
Perciformes,Eleotridae,Gobiomorphus,Gobiomorphus,genus,genus
Perciformes,Eleotridae,Gobiomorphus,Gobiomorphus.huttoni,genus,genus
Cymbellales,Gomphonemataceae,Gomphoneis,Gomphoneis,genus,genus
Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema,genus,genus
Green.algae,,,Green.algae,order,order
Coleoptera,Gyrinidae,,Gyrinidae,family,family
Naviculales,Pleurosigmataceae,Gyrosigma,Gyrosigma,genus,genus
Bacillariales,Bacillariaceae,Hantzschia,Hantzschia,genus,genus
Trichoptera,Helicopsychidae,Helicopsyche,Helicopsyche,genus,genus
Diptera,Tipulidae,Hexatomini,Hexatomini,genus,genus
Naviculales,,Hippodonta,Hippodonta,order,order
Hirudinea,,,Hirudinea,order,order
Coleoptera,Hydraenidae,Homalaena,Homalaena,family,family
Trichoptera,Leptoceridae,Hudsonema,Hudsonema,genus,genus
Coleoptera,Elmidae,Hydora,Hydora,genus,genus
Coleoptera,Elmidae,Hydora.adult,Hydora.adult,genus,genus
Coleoptera,Elmidae,Hydora.larvae,Hydora.larvae,genus,genus
Anthomedusae,Hydridae,Hydra,Hydra,genus,genus
Coleoptera,Hydraenidae,Hydraena,Hydraena,genus,genus
Coleoptera,Hydraenidae,,Hydraenidae,family,family
Trichoptera,Philopotamidae,Hydrobiosella,Hydrobiosella,genus,genus
Trichoptera,Hydrobiosidae,Hydrobiosidae,Hydrobiosidae,genus,genus
Trichoptera,Hydrobiosidae,Hydrobiosis,Hydrobiosis,genus,genus
Trichoptera,Hydrobiosidae,Hydrochorema,Hydrochorema,genus,genus
Coleoptera,Hydrophilidae,,Hydrophilidae,family,family
Lepidoptera,Crambidae,Hygraula,Hygraula,genus,genus
Isopoda,,,Isopoda,order,order
Achnanhtales,Achnanthidiaceae,Karayevia,Karayevia,order,order
Trichoptera,Kokiriidae,Kokiria,Kokiria,family,family
Achnanhtales,Achnanthacea,Lemnicola,Lemnicola,order,order
Ephemeroptera,Leptophlebiidae,,Leptophlebiidae,family,family
Diptera,Tipulidae,Limonia,Limonia,genus,genus
Macrophyte,,,Macrophyte,order,order
Diptera,Chironomidae,Maoridiamesa,Maoridiamesa,family,genus
Ephemeroptera,Leptophlebiidae,Mauiulus,Mauiulus,family,family
Plecoptera,Gripopterygidae,Megaleptoperla,Megaleptoperla,genus,genus
Meiofauna,,,Meiofauna,order,order
Thalassiosirales,Melosiraceae,Melosira,Melosira,genus,genus
Fragilariales,Fragilariaceae,Meridion,Meridion,genus,genus
Ulotrichales,Microsporaceae,Microspora,Microspora,genus,genus
Moss,,,Moss,order,order
Zygnematales,Zygnemataceae,Mougeotia,Mougeotia,genus,genus
Diptera,Muscidae,,Muscidae,family,family
NA,NA,NA,NA,genus,genus
Mecoptera,Nannochoristidae,Nannochorista,Nannochorista,genus,genus
Diptera,Chironomidae,Naonella,Naonella,family,genus
Naviculales,Naviculaceae,Navicula,Navicula,genus,genus
Naviculales,Neidiaceae,Neidium,Neidium,genus,genus
Nematoda,,,Nematode,order,order
Diptera,Blephariceridae,Neocurupira,Neocurupira,genus,genus
Ephemeroptera,Leptophlebiidae,Neozephlebia,Neozephlebia,genus,genus
Ephemeroptera,Nesameletidae,Nesameletus,Nesameletus,genus,genus
Trichoptera,Hydrobiosidae,Neurochorema,Neurochorema,genus,genus
Bacillariales,Bacillariaceae,Nitzschia,Nitzschia,genus,genus
Diptera,Dixidae,Nothodixa,Nothodixa,genus,genus
Plecoptera,Notonemouridae,Notonemoura,Notomemoura,family,family
Lepidoptera,Crambidae,Nymphula,Nymphula,family,family
Odonata,,,Odonata,order,order
Trichoptera,Oeconesidae,Oeconesus,Oeconesus,genus,genus
Oedogoniales,Oedogoniaceae,Oedogonium,Oedogonium,genus,genus
Oligochaeta,,,Oligochaeta,order,order
Oligochaetae,,,Oligochaetae,order,order
Trichoptera,Conoesucidae,Olinga,Olinga,genus,genus
Ephemeroptera,Oniscigastridae,Oniscigaster,Oniscigaster,genus,genus
Coleoptera,Dytiscidae,Onychohydrus,Onychohydrus,genus,genus
Coleoptera,Hydraenidae,Orchymontia,Orchymontia,family,family
Diptera,Chironomidae,,Orthocladiinae,family,family
Ostracoda,,,Ostracoda,order,order
Trichoptera,Hydroptilidae,Oxyethira,Oxyethira,genus,genus
Amphipoda,Paracalliopiidae,Paracalliope,Paracalliope,order,genus
Diptera,Dixidae,Paradixa,Paradixa,family,family
Amphipoda,Paraleptamphopidae,,Paraleptamphopidae,order,order
Amphipoda,Paraleptamphopidae,Paraleptamphopus,Paraleptamphopus,order,genus
Diptera,Limoniidae,Paralimnophila,Paralimnophila,family,genus
Decapoda,Parastacidae,Paranephrops,Paranephrops,genus,genus
Trichoptera,Hydroptilidae,Paroxyethira,Paroxyethira,genus,genus
Sphaeropleales,Hydrodictyaceae,Pediastrum,Pediastrum,genus,genus
Mollusca,,,Pelicypod,order,genus
Trichoptera,Philorheithridae,Philorheithrus,Philorheithrus,genus,genus
Mollusca,Physidae,Physa,Physa,genus,genus
Naviculales,Pinnulariaceae,Pinnularia,Pinnularia,genus,genus
Diptera,Chironomidae,Pirara,Pirara,family,family
Mollusca,Planorbidae,,Planorbidae,family,family
Achnanhtales,Achnanthacea,Planothidium,Planothidium,order,order
Plant.material,,,Plant.material,order,order
Platyhelminthes,,,Platyhelminthes,order,order
Plecoptera,,,Plecoptera,order,order
Trichoptera,Polycentropidae,Plectrocnemia,Plectrocnemia,family,family
Coleoptera,Hydraenidae,Podaena,Podaena,genus,genus
Diptera,Chironomidae,,Podonominae,family,family
Diptera,Chironomidae,Polypedium,Polypedium,family,genus
Trichoptera,Polycentropidae,Polyplectropus,Polyplectropus,genus,genus
Mollusca,Hydrobiidae,Potamopyrgus,Potamopyrgus,genus,genus
Trichoptera,Oeconesidae,Pseudoconesus,Pseudoeconesus,family,family
Trichoptera,Hydrobiosidae,Psilochorema,Psilochorema,genus,genus
Diptera,Psychodidae,,Psychodidae,family,family
Coleoptera,Ptilodactylidae,,Ptilodactylidae,family,family
Trichoptera,Helicophidae,Pycnocentrella,Pycnocentrella,genus,genus
Trichoptera,Helicophidae,Pycnocentrella,Pycnocentrella,genus,genus
Trichoptera,Conoesucidae,Pycnocentria,Pycnocentria,genus,genus
Trichoptera,Conoesucidae,Pycnocentrodes,Pycnocentrodes,genus,genus
Trichoptera,Helicopsychidae,Rakiura,Rakiura,genus,genus
Red.algae,,,Red.algae,order,order
Cymbellales,Rhoicospheniaceae,Rhoicosphenia,Rhoicosphenia,genus,genus
Rhopalodiaceae,Rhopalodiaceae,Rhopalodia,Rhopalodia,genus,genus
Achnanhtales,Achnanthacea,Rossithidium,Rossithidium,order,order
Salmoniformes,Salmonidae,Salmo,Salmo,genus,genus
Salmoniformes,Salmonidae,Salmo,Salmo.trutta,genus,genus
Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus,genus,genus
Pseudanabaenales,Schizotrichaceae,Schizothrix,Schizothrix,genus,genus
Coleoptera,Scirtidae,,Scirtidae,family,family
Naviculales,Sellaphoraceae,Sellaphora,Sellaphora,order,order
Hemiptera,Corixidae,Sigara,Sigara,order,family
Batrachospermales,Batrachospermaceae,Sirodotia,Sirodotia,genus,genus
Chlamydomonadales,Sphaerocystidaceae,Spaeocystis,Spaeocystis,genus,genus
Plecoptera,Notonemouridae,Spaniocerca,Spaniocerca,genus,genus
Plecoptera,Notonemouridae,Spaniocercoides,Spaniocercoides,genus,genus
Mollusca,Sphaeriidae,,Sphaeridae,family,family
Mollusca,Sphaeriidae,Sphaerium,Sphaerium,genus,genus
Zygnematales,Zygnemataceae,Spirogyra,Spirogyra,genus,genus
Desmidiales,Desmidiaceae,Staurastrum,Staurastrum,genus,genus
Naviculales,Stauroneidaceae,Stauroneis,Stauroneis,genus,genus
Plecoptera,Eustheniidae,Stenoperla,Stenoperla,genus,genus
Thalassiosirales,Stephanodiscaceae,Stephanodiscus,Stephanodiscus,genus,genus
Diptera,Chironomidae,Stictocladius,Stictocladius,family,genus
Chaetophorales,Chaetophoraceae,Stigeoclonium,Stigeoclonium,genus,genus
Diptera,Stratiomyidae,,Stratiomyidae,family,family
Surirellales,Surirellaceae,Surirella,Surirella,genus,genus
Fragilariales,Fragilariaceae,Synedra,Synedra,genus,genus
Diptera,Tabanidae,,Tabanidae,family,family
Tabellariales,Tabellareaceae,Tabellaria,Tabellaria,genus,genus
Diptera,Tanyderidae,,Tanyderidae,family,family
Diptera,Chironomidae,,Tanypodinae,family,family
Diptera,Chironomidae,Tanytarsus,Tanytarsus,family,genus
Plecoptera,Gripopterygidae,Taraperla,Taraperla,genus,genus
Terrestrial,,,terr?,order,order
Terrestrial.invertebrates,,,Terrestrial.invertebrates,order,order
Trichoptera,Hydrobiosidae,Tiphobiosis,Tiphobiosis,genus,genus
Diptera,Tipulidae,,Tipulidae,family,family
Trichoptera,,,Trichoptera,order,order
Trichoptera,Leptoceridae,Triplectides,Triplectides,genus,genus
Trichoptera,Leptoceridae,Triplectidina,Triplectidina,family,family
Fragilariales,Fragilariaceae,Ulnaria,Ulnaria,order,order
Ulotrichales,Ulotrichaceae,Ulothrix,Ulothrix,genus,genus
Odonata,Coenagrionidae,Xanthocnemis,Xanthocnemis,order,family
Coleoptera,Elmidae,Zeahydora,Zeahydora,family,family
Plecoptera,Gripopterygidae,Zelandobius,Zelandobius,genus,genus
Plecoptera,Gripopterygidae,Zelandoperla,Zelandoperla,genus,genus
Diptera,Tipulidae,Zelandotipula,Zelandotipula,genus,genus
Trichoptera,Helicophidae,Zelolessica,Zelolessica,genus,genus
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia,genus,genus
